Brands,Colors,Rating,Selling Price,Discount,Type,Memory_MB,Storage_MB,Cluster
ASUS,Gold/Yellow,4.2,7199.0,0.0,Entry-level,2048.0,16384.0,0
realme,Green,4.4,20999.0,2999.9999999999995,Mid-range,8192.0,131072.0,1
HTC,Blue,4.0,6999.0,0.0,Entry-level,1024.0,16384.0,0
Google Pixel,Black,4.5,31999.000000000004,0.0,Upper mid-range,6144.0,131072.0,0
SAMSUNG,Gold/Yellow,4.1,5990.0,3508.9999999999995,Entry-level,2048.0,16384.0,1
realme,Green,4.3,11499.0,1499.9999999999998,Mid-range,4096.0,65536.0,1
vivo,Blue,4.3,18990.0,2000.0,Mid-range,3072.0,16384.0,1
GIONEE,Blue,3.7,4899.0,4100.0,Entry-level,1024.0,16384.0,0
SAMSUNG,White,3.8,19999.0,0.0,Mid-range,1536.0,8192.0,4
Motorola,Gold/Yellow,3.9,14999.0,0.0,Mid-range,3072.0,32768.0,3
Infinix,Other,4.2,12499.0,2500.0,Mid-range,6144.0,131072.0,2
OPPO,White,4.5,13499.0,0.0,Mid-range,4096.0,65536.0,4
Xiaomi,Blue,4.3,10999.0,0.0,Mid-range,4096.0,65536.0,1
realme,Black,4.3,17999.0,1000.0,Mid-range,8192.0,131072.0,1
LG,Black,4.4,50000.0,0.0,Flagship,4096.0,65536.0,3
GIONEE,Blue,4.0,8750.0,0.0,Entry-level,4096.0,32768.0,0
Apple,Gold/Yellow,4.5,36999.0,901.0,Upper mid-range,3072.0,32768.0,0
GIONEE,Other,3.8,3990.0,0.0,Entry-level,1024.0,16384.0,0
realme,Blue,4.3,27998.999999999996,2000.0,Upper mid-range,8192.0,131072.0,1
SAMSUNG,Gold/Yellow,4.1,8090.0,0.0,Entry-level,1536.0,8192.0,1
Xiaomi,Green,4.3,28999.0,5000.0,Upper mid-range,8192.0,131072.0,1
OPPO,Blue,4.4,14990.0,4000.0,Mid-range,4096.0,65536.0,3
realme,Black,4.4,19999.0,2000.0,Mid-range,8192.0,131072.0,1
Nokia,Other,4.1,20999.0,0.0,Mid-range,6144.0,65536.0,2
SAMSUNG,Blue,3.9,21999.0,0.0,Mid-range,2048.0,16384.0,1
SAMSUNG,Blue,4.2,12499.0,2000.0,Mid-range,4096.0,65536.0,1
SAMSUNG,Black,4.1,2814.9999999999995,0.0,Entry-level,32.0,2.0,1
POCO,Blue,4.3,7999.0,2000.0,Entry-level,3072.0,32768.0,1
Nokia,Other,4.0,39000.0,0.0,Upper mid-range,4096.0,65536.0,2
realme,Blue,4.5,10999.0,0.0,Mid-range,4096.0,65536.0,1
ASUS,White,4.1,7499.0,0.0,Entry-level,2048.0,16384.0,0
realme,Red,4.5,9990.0,0.0,Entry-level,3072.0,32768.0,4
Xiaomi,Black,4.4,8389.0,0.0,Entry-level,3072.0,32768.0,1
HTC,Red,4.0,12399.999999999998,0.0,Mid-range,1024.0,16384.0,0
realme,Green,4.5,16999.0,1000.0,Mid-range,8192.0,131072.0,1
vivo,Gold/Yellow,4.5,25990.0,0.0,Mid-range,6144.0,65536.0,1
SAMSUNG,Gold/Yellow,4.0,7549.999999999999,0.0,Entry-level,1024.0,8192.0,1
SAMSUNG,Blue,3.9,16499.0,1499.9999999999998,Mid-range,6144.0,131072.0,1
ASUS,Blue,4.3,13199.0,0.0,Mid-range,3072.0,32768.0,0
Lenovo,Black,4.1,7490.0,4009.0,Mid-range,3072.0,32768.0,3
SAMSUNG,White,4.5,37499.0,3500.0,Upper mid-range,8192.0,131072.0,4
Xiaomi,Gold/Yellow,4.3,7699.000000000001,0.0,Entry-level,2048.0,32768.0,1
Xiaomi,Blue,4.3,16999.0,0.0,Mid-range,6144.0,65536.0,1
vivo,Black,4.4,7990.000000000001,0.0,Entry-level,2048.0,16384.0,1
realme,Silver/Gray,4.3,10499.0,2500.0,Mid-range,4096.0,65536.0,4
Nokia,Black,4.2,1900.0,0.0,Entry-level,4.0,16384.0,3
Xiaomi,Red,4.4,12499.0,0.0,Mid-range,4096.0,65536.0,4
realme,Blue,4.5,17999.0,0.0,Mid-range,4096.0,65536.0,1
Apple,Other,4.5,49999.0,0.0,Upper mid-range,2048.0,65536.0,0
Nokia,Other,3.9,12999.0,3800.0,Mid-range,4096.0,65536.0,2
realme,White,4.3,27998.999999999996,2000.0,Upper mid-range,8192.0,131072.0,4
Motorola,White,3.9,5499.0,0.0,Entry-level,1024.0,16384.0,2
realme,Other,4.4,9999.0,1000.0,Mid-range,4096.0,65536.0,4
OPPO,Blue,4.2,19990.0,1000.0,Mid-range,6144.0,131072.0,3
SAMSUNG,Gold/Yellow,4.4,12990.0,0.0,Mid-range,3072.0,32768.0,1
Lenovo,Blue,3.9,7990.000000000001,2009.0000000000002,Entry-level,4096.0,65536.0,3
OPPO,Blue,4.3,16990.0,1000.0,Mid-range,6144.0,131072.0,3
vivo,Blue,4.5,16989.0,0.0,Mid-range,6144.0,65536.0,1
Lenovo,Black,3.8,7499.0,0.0,Entry-level,1024.0,4096.0,3
GIONEE,Black,4.0,6899.000000000001,51.0,Entry-level,3072.0,32768.0,0
Nokia,Blue,3.9,13989.999999999998,0.0,Mid-range,3072.0,32768.0,3
vivo,Blue,4.4,22654.0,0.0,Mid-range,4096.0,32768.0,1
Infinix,Other,4.5,14499.0,2500.0,Mid-range,6144.0,131072.0,2
realme,Other,4.4,7499.0,500.0,Entry-level,2048.0,32768.0,4
Apple,Gold/Yellow,4.5,31999.000000000004,0.0,Upper mid-range,2048.0,16384.0,0
Xiaomi,Blue,4.4,10121.0,0.0,Mid-range,4096.0,65536.0,1
OPPO,White,4.3,13899.0,0.0,Mid-range,6144.0,131072.0,4
Xiaomi,Black,4.5,7589.000000000001,0.0,Entry-level,2048.0,32768.0,1
LG,Other,4.0,16990.0,0.0,Mid-range,3072.0,32768.0,2
SAMSUNG,White,4.3,19900.0,0.0,Mid-range,4096.0,131072.0,4
Infinix,Blue,4.3,7499.0,1499.9999999999998,Entry-level,2048.0,32768.0,3
Motorola,Other,4.1,10999.0,4000.0,Mid-range,4096.0,65536.0,2
POCO,Red,4.4,11499.0,3500.0,Mid-range,6144.0,131072.0,4
SAMSUNG,Blue,4.2,6999.0,0.0,Entry-level,1024.0,16384.0,1
SAMSUNG,Black,4.3,29998.0,0.0,Upper mid-range,8192.0,131072.0,1
HTC,White,3.9,7999.0,0.0,Entry-level,1024.0,8192.0,2
GIONEE,Blue,4.1,9250.0,0.0,Entry-level,4096.0,65536.0,0
Motorola,Other,4.3,16499.0,3500.0,Mid-range,6144.0,131072.0,2
Motorola,Other,3.9,21499.0,3500.0,Mid-range,6144.0,131072.0,2
Motorola,Black,4.2,6999.0,0.0,Entry-level,2048.0,16384.0,3
ASUS,Black,4.1,6989.999999999999,0.0,Entry-level,2048.0,16384.0,0
OPPO,Black,4.1,10490.0,0.0,Mid-range,3072.0,32768.0,3
Xiaomi,Blue,4.4,11999.0,0.0,Mid-range,4096.0,65536.0,1
Nokia,Black,3.8,2790.0,0.0,Entry-level,32.0,64.0,3
Lenovo,White,4.0,8999.0,0.0,Entry-level,2048.0,8192.0,2
Xiaomi,Other,4.4,17765.0,0.0,Mid-range,6144.0,131072.0,4
SAMSUNG,Gold/Yellow,4.0,33900.0,0.0,Upper mid-range,3072.0,32768.0,1
realme,White,4.5,14999.0,1000.0,Mid-range,6144.0,65536.0,4
SAMSUNG,Gold/Yellow,4.3,9499.0,0.0,Entry-level,2048.0,32768.0,1
Xiaomi,Other,4.4,23999.0,0.0,Mid-range,8192.0,131072.0,4
Infinix,Gold/Yellow,4.2,9999.0,0.0,Entry-level,3072.0,32768.0,2
POCO,Black,4.3,7999.0,2000.0,Entry-level,3072.0,32768.0,1
Apple,Gold/Yellow,4.5,38999.0,901.0,Upper mid-range,2048.0,65536.0,0
ASUS,Gold/Yellow,3.8,5699.0,0.0,Entry-level,1024.0,8192.0,0
OPPO,Other,4.3,12990.0,0.0,Mid-range,3072.0,32768.0,4
SAMSUNG,White,4.3,15899.0,3001.0,Mid-range,4096.0,65536.0,4
realme,Silver/Gray,4.3,13499.0,1499.9999999999998,Mid-range,4096.0,65536.0,4
Nokia,Black,3.8,3886.0,0.0,Entry-level,16.0,32768.0,3
Nokia,Black,3.9,2142.0,50.0,Entry-level,4.0,4.0,3
SAMSUNG,White,4.3,27499.000000000004,2999.9999999999995,Upper mid-range,6144.0,131072.0,4
ASUS,Blue,4.3,12999.0,0.0,Mid-range,3072.0,32768.0,0
GIONEE,Gold/Yellow,4.0,7674.999999999999,1324.0,Entry-level,4096.0,65536.0,0
OPPO,Black,4.2,30994.0,0.0,Upper mid-range,8192.0,131072.0,3
POCO,Blue,4.4,8999.0,2999.9999999999995,Mid-range,4096.0,65536.0,1
SAMSUNG,Other,4.1,21999.0,2999.9999999999995,Mid-range,6144.0,131072.0,4
vivo,Blue,4.1,16490.0,3500.0,Mid-range,4096.0,131072.0,1
realme,Red,4.4,18999.0,0.0,Mid-range,6144.0,131072.0,4
Infinix,Other,4.4,12999.0,0.0,Mid-range,4096.0,65536.0,2
ASUS,White,4.0,13999.000000000002,0.0,Mid-range,3072.0,16384.0,0
OPPO,Other,4.4,12990.0,4000.0,Mid-range,4096.0,131072.0,4
realme,Silver/Gray,4.3,16999.0,2000.0,Mid-range,6144.0,65536.0,4
Infinix,Other,4.3,10999.0,0.0,Mid-range,4096.0,65536.0,2
Xiaomi,Black,4.3,25990.0,0.0,Mid-range,6144.0,131072.0,1
Motorola,Black,4.3,18999.0,0.0,Mid-range,4096.0,65536.0,3
realme,Black,4.3,10999.0,3991.0,Mid-range,6144.0,131072.0,1
Lenovo,Gold/Yellow,4.1,10999.0,0.0,Mid-range,3072.0,32768.0,3
Nokia,Blue,4.3,28830.999999999996,0.0,Mid-range,4096.0,65536.0,3
OPPO,White,4.4,14990.0,2999.9999999999995,Mid-range,4096.0,131072.0,4
SAMSUNG,White,4.1,21999.0,2999.9999999999995,Mid-range,6144.0,131072.0,4
Infinix,Green,4.3,9299.0,1700.0,Mid-range,4096.0,65536.0,2
Xiaomi,White,4.3,24338.0,1651.0,Mid-range,6144.0,131072.0,4
Xiaomi,White,4.4,38999.0,0.0,Upper mid-range,8192.0,262144.0,4
SAMSUNG,Blue,4.2,14999.0,2999.9999999999995,Mid-range,4096.0,65536.0,1
Apple,Other,4.6,49900.0,0.0,Upper mid-range,3072.0,65536.0,0
SAMSUNG,Black,4.3,11990.0,260.0,Mid-range,4096.0,65536.0,1
realme,Other,4.5,22999.0,4000.0,Mid-range,8192.0,131072.0,4
OPPO,Gold/Yellow,4.3,16990.0,1000.0,Mid-range,6144.0,131072.0,3
SAMSUNG,Blue,4.2,9539.0,850.0,Mid-range,3072.0,32768.0,1
realme,Blue,4.4,10999.0,0.0,Mid-range,4096.0,65536.0,1
Nokia,Black,4.1,3428.9999999999995,16.0,Entry-level,8.0,16.0,3
OPPO,Gold/Yellow,4.4,10990.0,0.0,Mid-range,3072.0,16384.0,3
SAMSUNG,White,4.0,5999.0,0.0,Entry-level,512.0,4096.0,4
LG,Black,3.7,7299.0,0.0,Entry-level,3072.0,32768.0,3
LG,Black,4.5,10199.0,0.0,Mid-range,512.0,4096.0,3
ASUS,Other,4.3,17999.0,0.0,Mid-range,4096.0,65536.0,0
Nokia,Gold/Yellow,4.2,17979.0,0.0,Mid-range,3072.0,32768.0,3
realme,Blue,4.4,10499.0,500.0,Mid-range,4096.0,65536.0,1
GIONEE,Blue,4.1,7999.0,0.0,Entry-level,4096.0,65536.0,0
Apple,Other,4.5,25298.999999999996,4601.0,Upper mid-range,2048.0,32768.0,0
Apple,Blue,4.6,42999.0,4901.0,Upper mid-range,3072.0,65536.0,0
Nokia,Other,4.1,12998.0,0.0,Mid-range,4096.0,65536.0,2
ASUS,White,3.9,15999.0,0.0,Mid-range,2048.0,16384.0,0
POCO,Blue,4.5,30999.0,0.0,Upper mid-range,8192.0,262144.0,1
realme,Blue,4.2,8799.0,1200.0,Entry-level,4096.0,65536.0,1
Infinix,Other,4.4,8999.0,0.0,Entry-level,2048.0,32768.0,2
OPPO,Red,4.4,24990.0,0.0,Mid-range,6144.0,65536.0,4
realme,Blue,4.3,13499.0,1499.9999999999998,Mid-range,4096.0,65536.0,1
Xiaomi,Blue,4.4,9499.0,0.0,Entry-level,3072.0,65536.0,1
SAMSUNG,White,3.8,20400.0,0.0,Mid-range,1536.0,8192.0,4
Infinix,Gold/Yellow,4.0,7499.0,0.0,Entry-level,3072.0,16384.0,2
Apple,Gold/Yellow,4.4,49999.0,0.0,Upper mid-range,2048.0,16384.0,0
SAMSUNG,Blue,4.3,16990.0,0.0,Mid-range,4096.0,65536.0,1
SAMSUNG,Black,4.3,17578.0,1921.0000000000002,Mid-range,6144.0,131072.0,1
SAMSUNG,Silver/Gray,3.9,38900.0,0.0,Upper mid-range,4096.0,32768.0,4
SAMSUNG,White,4.4,24000.0,0.0,Mid-range,6144.0,65536.0,4
Nokia,Black,4.0,7899.0,0.0,Entry-level,3072.0,32768.0,3
SAMSUNG,Black,4.3,16298.999999999998,0.0,Mid-range,6144.0,65536.0,1
SAMSUNG,White,4.0,6048.0,0.0,Entry-level,512.0,4096.0,4
